ALCOHOL	Alcohol
ALCOHOLFREE	AlcoholFree
ART	Art
BABY	Baby
BAKING_SUPPLIES	BakingSupplies
BEANS_GRAINS	BeanGrains
BEER	Beer
BLU_RAY_PLAYER	BluRayPlayer
BLUE_RAY	BlueRay
BODY_CARE	BodyCare
BOOK	Book
BREAD	Bread
BREAKFAST_CEREALS	BreakfastCereals
CAMERA_PHOTO	CameraPhoto
CAR	Car
CHEESE	Cheese
CHOCOLATE	Chocolate
CLEANING	Cleaning
CLOTHING	Clothing
COFFEE	Coffee
COFFEE_MASCHINES	CoffeeMaschines
COFFEE_PAD_MASCHINES	CoffeePadMaschines
COFFEE_PADS	CoffeePads
COMPUTER	Computer
COMPUTER_ACCESSORIES	ComputerAccessories
CONTRACEPTION	Contraception
COOKIES	Cookies
COOKING_BAKING_SUPPLIES	CookingBakingSupplies
COOKING_OIL	CookingOil
COOLING	Cooling
COSMETICS	Cosmetics
DAIRY	Dairy
DANDRUFF	Dandruff
DESKTOP	Desktop
DIGITAL_CAMCORDER	DigitalCamcorder
DIGITAL_CAMCORDER_HD	DigitalCamcorderHD
DIGITAL_CAMERA	DigitalCamera
DIGITAL_SLR	DigitalSlr
DISHWASHER	Dishwasher
DIY	Diy
DRINK	Drink
DRUGSTORE	DrugStore
DRYER	Dryer
DVD	DVD
DVD_HD_RECORDER	DVDHDRecorder
DVD_WRITER	DVDWriter
EGGS	Eggs
ELECTRONICS	Electronics
ENERGY_SAVING_LAMP	EnergySavingLamp
EXTERNAL_HD	ExternalHD
FASHION	Fashion
FISH	Fish
FLAT_SCREEN	FlatScreen
FLAT_SCREEN_19	FlatScreen19
FLAT_SCREEN_20	FlatScreen20
FLAT_SCREEN_21PLUS	FlatScreen21Plus
FOOD	Food
FOTO_PRINTER	FotoPrinter
FREEZER	Freezer
FRIDGE	Fridge
FRIDGE_FREEZER_COMBINATION	fridgeFreezerCombination
FRUITS	Fruit
FURNITURE	Furniture
GAME_CONSOLE	GameConsole
GAMES_DIGITAL	GamesDigital
GAMES_PC	GamesPc
GAMES_PLAYSTATION	GamesPlaystation
GAMES_WII	GamesWii
GAMES_XBOX	GamesXbox
GRAPHIC_PCIE	GraphicPcie
HAIR_CAIR	HairCair
HEALTH	Health
HOUSEHOLD_APPLIANCES	HouseholdAppliances
ICE_CREAM	IceCream
INKJET	Inkjet
JUICE	Juice
LASER_PRINTER	LaserPrinter
LASER_PRINTER_BW	LaserPrinterBW
LASER_PRINTER_COLOR	LaserPrinterColor
LCD_TV	LCD_TV
LIQUOR	Liquor
LIVING	Living
MAGAZINE	Magazine
MAGAZINE_TV	MagazineTv
MEAT	Meat
MEDIA	Media
MILK	Milk
MOBILE_PHONE	MobilePhone
MP3_HIFI	MP3Hifi
MP3_PLAYER	Mp3Player
MP3_VIDEO_PLAYER	Mp3VideoPlayer
MULTIFUNCTIONAL_DEVICE	MultifunctionalDevice
MUSIC	Music
NAS	Nas
NAVIGATION_SYSTEM	NavigationSystem
NETBOOK	Netbook
NON_FOOD	NonFood
NOTEBOOK	Notebook
NOTEBOOK_13	Notebook_13
NOTEBOOK_14	Notebook_14
NOTEBOOK_15	Notebook_15
NOTEBOOK_16PLUS	Notebook_16plus
NUT_CHOCOLATE	NutChocolate
PASTA	Pasta
PERFUME	Perfume
PET	Pet
PIZZA	Pizza
PREPARED_FOOD	PreparedFood
PRINTER	Printer
PRINTER_CARTRIDGE	PrinterCartridge
SAUSAGES	Sausages
SCANNER	Scanner
SHAMPOO	Shampoo
SHAVE	Shave
SHOES	Shoes
SMART_PHONE	SmartPhone
SNACKS	Snacks
SOFT_CHEESE	SoftCheese
SOFT_DRINK	SoftDrink
SPARKLING_WINE	SparklingWine
SPICES	Spices
SPREAD	Spread
STATIONERY	Stationery
STOVE	Stove
SWEETS	Sweets
TEA	Tea
TINNED_FOOD	TinnedFood
TOBACCO	Tobacco
TOYS	Toys
TOYS_BABY	ToysBaby
TV	TV
USB_STORAGE	UsbStorage
VEGETABLES	Vegetables
VIDEO	Video
WASHING_MACHINE	WashingMachine
WASHING_POWDER	WashingPowder
WATER	Water
WEISS_BEER	WeissBeer
WIFI_ROUTER	WifiRouter
WINE	Wine
WINE_RED	WineRed
WINE_ROSE	WineRose
WINE_WHITE	WineWhite
WOMEN_HYGIENE	WomanHygiene
YOGHURT	Yoghurt
